percentage_%,temperature_C,density_kg_m3,strain
0,-20,600,6.365E-06
10,-20,600,7.010E-06
20,-20,600,7.654E-06
30,-20,600,8.299E-06
40,-20,600,8.943E-06
50,-20,600,9.588E-06
60,-20,600,1.023E-05
70,-20,600,1.088E-05
80,-20,600,1.152E-05
90,-20,600,1.217E-05
100,-20,600,1.281E-05
0,-10,600,8.856E-06
10,-10,600,9.495E-06
20,-10,600,1.013E-05
30,-10,600,1.077E-05
40,-10,600,1.141E-05
50,-10,600,1.205E-05
60,-10,600,1.269E-05
70,-10,600,1.332E-05
80,-10,600,1.396E-05
90,-10,600,1.460E-05
100,-10,600,1.524E-05
0,0,600,1.121E-05
10,0,600,1.186E-05
20,0,600,1.250E-05
30,0,600,1.315E-05
40,0,600,1.379E-05
50,0,600,1.444E-05
60,0,600,1.509E-05
70,0,600,1.573E-05
80,0,600,1.638E-05
90,0,600,1.702E-05
100,0,600,1.767E-05
0,10,600,1.356E-05
10,10,600,1.421E-05
20,10,600,1.487E-05
30,10,600,1.552E-05
40,10,600,1.617E-05
50,10,600,1.683E-05
60,10,600,1.748E-05
70,10,600,1.814E-05
80,10,600,1.879E-05
90,10,600,1.945E-05
100,10,600,2.010E-05
0,20,600,1.616E-05
10,20,600,1.679E-05
20,20,600,1.743E-05
30,20,600,1.807E-05
40,20,600,1.871E-05
50,20,600,1.934E-05
60,20,600,1.998E-05
70,20,600,2.062E-05
80,20,600,2.126E-05
90,20,600,2.189E-05
100,20,600,2.253E-05
0,30,600,1.859E-05
10,30,600,1.922E-05
20,30,600,1.986E-05
30,30,600,2.050E-05
40,30,600,2.114E-05
50,30,600,2.177E-05
60,30,600,2.241E-05
70,30,600,2.305E-05
80,30,600,2.369E-05
90,30,600,2.432E-05
100,30,600,2.496E-05
0,40,600,2.084E-05
10,40,600,2.150E-05
20,40,600,2.215E-05
30,40,600,2.281E-05
40,40,600,2.346E-05
50,40,600,2.412E-05
60,40,600,2.477E-05
70,40,600,2.543E-05
80,40,600,2.608E-05
90,40,600,2.674E-05
100,40,600,2.739E-05
0,-20,800,1.307E-05
10,-20,800,1.383E-05
20,-20,800,1.460E-05
30,-20,800,1.536E-05
40,-20,800,1.612E-05
50,-20,800,1.689E-05
60,-20,800,1.765E-05
70,-20,800,1.842E-05
80,-20,800,1.918E-05
90,-20,800,1.995E-05
100,-20,800,2.071E-05
0,-10,800,1.564E-05
10,-10,800,1.639E-05
20,-10,800,1.714E-05
30,-10,800,1.789E-05
40,-10,800,1.864E-05
50,-10,800,1.939E-05
60,-10,800,2.014E-05
70,-10,800,2.089E-05
80,-10,800,2.164E-05
90,-10,800,2.239E-05
100,-10,800,2.314E-05
0,0,800,1.795E-05
10,0,800,1.871E-05
20,0,800,1.948E-05
30,0,800,2.024E-05
40,0,800,2.100E-05
50,0,800,2.176E-05
60,0,800,2.252E-05
